,Crime_ID,Date,Crime_Type,Victim_ID,Suspect_ID,Status,Lead_Officer_ID,Region,City,Case_ID
4498,CR4498,22/03/2013,labor racketeering,P00756218,Cam0001764,On-going,CPA113923262,Campania,Avellino,N/A
4499,CR4499,25/06/2003,gambling,P00416899,Sac0001350,Solved,PGA151819636,Puglia,Taranto,N/A
4500,CR4500,28/03/2003,murder,P00602254,Sac0000206,Solved,PGA952138906,Puglia,Andria,N/A
4501,CR4501,11/04/2006,extortion,P00149402,Ndr0004864,Solved,CLA915519780,Calabria,Castrovillari,N/A
4502,CR4502,30/06/2019,tax-fraud schemes,P00492125,Sac0000587,Solved,PGA415154344,Puglia,Andria,CA1182
4503,CR4503,07/12/2013,infiltration of legitimate businesses,P00019117,Cam0003684,Solved,CPA563409985,Campania,Avellino,N/A
4504,CR4504,19/03/2017,loan sharking,P00671241,Ndr0003457,Solved,CLA483098062,Calabria,Castrovillari,CA121
4505,CR4505,29/12/2011,murder,P00993155,Ndr0003615,Solved,CLA310609607,Calabria,Catanzaro,N/A
4506,CR4506,28/11/2004,infiltration of legitimate businesses,P00455318,Ndr0002676,Solved,CLA80718471,Calabria,Reggio Calabria,N/A
4507,CR4507,25/06/2008,loan sharking,P00543616,Sac0001490,Solved,PGA751569026,Puglia,Bari,N/A
4508,CR4508,11/01/2006,tax-fraud schemes,P00318553,Cos0000887,On-going,SCY565010729,Sicily,Trapani,CA984
4509,CR4509,16/04/2009,gambling,P00742708,Sac0000551,Solved,PGA820131539,Puglia,Bari,N/A
4510,CR4510,23/08/2017,tax-fraud schemes,P00308777,Ndr0004929,Solved,CLA802132112,Calabria,Montalto Uffugo,N/A
4511,CR4511,21/11/2004,gambling,P00355879,Sac0001731,Solved,PGA28336237,Puglia,Lecce,N/A
4512,CR4512,24/04/2000,gambling,P00946467,Sac0000451,On-going,PGA454759080,Puglia,Lecce,CA801
4513,CR4513,09/09/2015,extortion,P00338298,Cam0000983,Solved,CPA508089871,Campania,Caserta,N/A
4514,CR4514,28/05/2002,murder,P00683756,Cam0001143,Solved,CPA218793444,Campania,Salerno,CA188
4515,CR4515,16/07/2016,extortion,P00266916,Cam0005519,Solved,CPA962480071,Campania,Benevento,N/A
4516,CR4516,20/09/2020,murder,P00575448,Cos0003616,On-going,SCY486704059,Sicily,Caltanissetta,N/A
4517,CR4517,10/02/2020,corruption of public officials,P00445252,Ndr0003163,Solved,CLA288038738,Calabria,Crotone,CA796
4518,CR4518,22/09/2013,tax-fraud schemes,P00291990,Ndr0002986,Solved,CLA234873294,Calabria,Corigliano-Rossano,N/A
4519,CR4519,03/02/2001,murder,P00920459,Cos0001157,On-going,SCY613573683,Sicily,Marsala,N/A
4520,CR4520,26/01/2006,infiltration of legitimate businesses,P00030490,Sac0001009,On-going,PGA9720397,Puglia,Foggia,N/A
4521,CR4521,21/12/2010,loan sharking,P00929653,Ndr0003055,On-going,CLA479478087,Calabria,Cosenza,CA1523
4522,CR4522,07/12/2011,labor racketeering,P00959368,Cam0004945,On-going,CPA137688778,Campania,Benevento,N/A
4523,CR4523,05/10/2016,corruption of public officials,P00973916,Ndr0002523,On-going,CLA620959822,Calabria,Castrovillari,CA9
4524,CR4524,31/05/2016,tax-fraud schemes,P00092050,Ndr0002042,Solved,CLA898526034,Calabria,Montalto Uffugo,CA1611
4525,CR4525,07/07/2009,drug trafficking,P00430689,Cos0004144,Solved,SCY246948288,Sicily,Messina,CA580
4526,CR4526,03/09/2003,murder,P00726702,Ndr0003859,On-going,CLA108071229,Calabria,Acri,N/A
4527,CR4527,04/04/2005,drug trafficking,P00912165,Cos0001846,On-going,SCY299154953,Sicily,Syracuse,N/A
4528,CR4528,08/08/2012,extortion,P00333495,Cos0003872,On-going,SCY688059161,Sicily,Trapani,N/A
4529,CR4529,21/03/2016,murder,P00721513,Sac0001566,On-going,PGA171008426,Puglia,Lecce,N/A
4530,CR4530,20/04/2005,gambling,P00152683,Cam0005305,On-going,CPA437881238,Campania,Avellino,N/A
4531,CR4531,22/09/2005,prostitution,P00012742,Ndr0001544,Solved,CLA624912294,Calabria,Reggio Calabria,CA450
4532,CR4532,29/02/2004,gambling,P00149089,Ndr0003003,On-going,CLA205062806,Calabria,Cosenza,N/A
4533,CR4533,21/02/2002,labor racketeering,P00102564,Cam0003111,On-going,CPA424786262,Campania,Avellino,N/A
4534,CR4534,17/08/2017,murder,P00206484,Cam0002737,On-going,CPA965474637,Campania,Caserta,CA1516
4535,CR4535,08/02/2020,murder,P00848557,Sac0000522,Solved,PGA818518458,Puglia,Bari,N/A
4536,CR4536,28/12/2017,extortion,P00131960,Cam0001926,On-going,CPA780988670,Campania,Benevento,N/A
4537,CR4537,26/05/2006,infiltration of legitimate businesses,P00955743,Cos0002217,On-going,SCY660958931,Sicily,Caltanissetta,N/A
4538,CR4538,06/01/2010,labor racketeering,P00104880,Cam0004915,On-going,CPA161644480,Campania,Avellino,N/A
4539,CR4539,24/06/2019,infiltration of legitimate businesses,P00041253,Cos0001936,Solved,SCY392991015,Sicily,Ragusa,N/A
4540,CR4540,31/05/2013,murder,P00598889,Cam0000280,Solved,CPA973041117,Campania,Naples,CA1302
4541,CR4541,05/10/2011,corruption of public officials,P00473659,Cos0000499,On-going,SCY569968563,Sicily,Caltanissetta,N/A
4542,CR4542,16/12/2008,drug trafficking,P00197929,Cos0004515,Solved,SCY659298645,Sicily,Caltanissetta,N/A
4543,CR4543,20/12/2015,gambling,P00180788,Sac0000645,On-going,PGA42480337,Puglia,Lecce,N/A
4544,CR4544,18/05/2016,tax-fraud schemes,P00619454,Sac0001433,On-going,PGA751569026,Puglia,Bari,N/A
4545,CR4545,15/01/2015,labor racketeering,P00944962,Cam0004997,On-going,CPA755069193,Campania,Salerno,N/A
4546,CR4546,30/05/2006,extortion,P00645666,Cam0003797,Solved,CPA446219657,Campania,Benevento,N/A
4547,CR4547,01/02/2012,tax-fraud schemes,P00277020,Ndr0003961,Solved,CLA600729660,Calabria,Rende,N/A
4548,CR4548,25/08/2002,prostitution,P00576793,Ndr0002482,Solved,CLA302208599,Calabria,Acri,N/A
4549,CR4549,31/03/2011,murder,P00745419,Cam0000922,On-going,CPA622338977,Campania,Benevento,N/A
4550,CR4550,20/11/2013,gambling,P00305179,Cos0002865,On-going,SCY137644786,Sicily,Palermo,N/A
4551,CR4551,11/06/2005,gambling,P00345066,Cos0003482,On-going,SCY984745527,Sicily,Marsala,N/A
4552,CR4552,02/04/2011,murder,P00174705,Cam0005088,On-going,CPA720448001,Campania,Caserta,CA1502
4553,CR4553,26/10/2013,infiltration of legitimate businesses,P00599336,Cam0003790,On-going,CPA72577084,Campania,Caserta,N/A
4554,CR4554,02/08/2021,infiltration of legitimate businesses,P00777096,Cos0003803,On-going,SCY749695733,Sicily,Caltanissetta,N/A
4555,CR4555,18/03/2013,loan sharking,P00142859,Cos0003022,Solved,SCY859084671,Sicily,Caltanissetta,CA195
4556,CR4556,02/06/2014,loan sharking,P00910684,Sac0000238,On-going,PGA70492278,Puglia,Foggia,N/A
4557,CR4557,04/07/2001,murder,P00683993,Cam0001746,Solved,CPA662731686,Campania,Salerno,N/A
4558,CR4558,23/12/2003,extortion,P00066415,Cam0005345,Solved,CPA864885764,Campania,Avellino,N/A
4559,CR4559,23/05/2004,drug trafficking,P00431494,Cos0000929,On-going,SCY686978091,Sicily,Messina,N/A
4560,CR4560,22/12/2021,corruption of public officials,P00413052,Cam0002781,Solved,CPA670575174,Campania,Caserta,N/A
4561,CR4561,30/04/2002,corruption of public officials,P00292170,Ndr0001570,On-going,CLA658795000,Calabria,Castrovillari,N/A
4562,CR4562,23/06/2005,extortion,P00205799,Cam0002680,Solved,CPA8406354,Campania,Caserta,N/A
4563,CR4563,31/10/2014,corruption of public officials,P00828454,Cos0002877,Solved,SCY915972732,Sicily,Trapani,N/A
4564,CR4564,05/10/2006,tax-fraud schemes,P00787804,Ndr0003827,Solved,CLA957745330,Calabria,Crotone,CA1205
4565,CR4565,04/07/2019,extortion,P00870540,Cam0005108,On-going,CPA665935392,Campania,Avellino,CA1652
4566,CR4566,14/09/2015,gambling,P00886411,Cam0004728,Solved,CPA168628059,Campania,Naples,N/A
4567,CR4567,16/08/2006,gambling,P00548388,Ndr0004191,Solved,CLA823472634,Calabria,Reggio Calabria,N/A
4568,CR4568,24/01/2001,infiltration of legitimate businesses,P00393841,Sac0000959,On-going,PGA775486970,Puglia,Foggia,N/A
4569,CR4569,05/03/2013,corruption of public officials,P00757188,Sac0001505,On-going,PGA710169981,Puglia,Andria,N/A
4570,CR4570,12/09/2002,drug trafficking,P00977948,Cos0002418,On-going,SCY590402713,Sicily,Vittoria,CA680
4571,CR4571,20/06/2000,labor racketeering,P00238344,Cam0003003,On-going,CPA223205561,Campania,Avellino,N/A
4572,CR4572,01/10/2004,loan sharking,P00537865,Ndr0004388,Solved,CLA47372361,Calabria,Corigliano-Rossano,N/A
4573,CR4573,29/08/2005,drug trafficking,P00389128,Cam0001017,Solved,CPA694522000,Campania,Salerno,N/A
4574,CR4574,24/10/2010,infiltration of legitimate businesses,P00826363,Sac0000913,Solved,PGA238758828,Puglia,Bari,N/A
4575,CR4575,27/12/2008,extortion,P00397680,Ndr0002957,On-going,CLA715215212,Calabria,Corigliano-Rossano,N/A
4576,CR4576,11/11/2005,loan sharking,P00453064,Cos0001475,Solved,SCY469412840,Sicily,Marsala,N/A
4577,CR4577,26/09/2021,tax-fraud schemes,P00329853,Sac0001726,On-going,PGA661097472,Puglia,Lecce,N/A
4578,CR4578,20/06/2000,infiltration of legitimate businesses,P00760518,Cos0003256,Solved,SCY59831410,Sicily,Palermo,N/A
4579,CR4579,16/03/2000,infiltration of legitimate businesses,P00848700,Sac0000528,On-going,PGA381436103,Puglia,Lecce,N/A
4580,CR4580,20/09/2015,tax-fraud schemes,P00572315,Sac0000689,On-going,PGA684582957,Puglia,Lecce,N/A
4581,CR4581,14/02/2002,prostitution,P00395411,Cos0002857,On-going,SCY483855841,Sicily,Caltanissetta,N/A
4582,CR4582,02/10/2020,drug trafficking,P00008316,Ndr0003740,Solved,CLA373238413,Calabria,Acri,N/A
4583,CR4583,01/01/2008,loan sharking,P00919665,Cos0004656,Solved,SCY664412225,Sicily,Caltanissetta,N/A
4584,CR4584,30/04/2017,prostitution,P00723320,Cos0002180,On-going,SCY118633957,Sicily,Catania,CA1305
4585,CR4585,08/11/2004,drug trafficking,P00384451,Cos0001047,Solved,SCY728544218,Sicily,Vittoria,N/A
4586,CR4586,22/07/2009,drug trafficking,P00850734,Cos0004634,On-going,SCY329716663,Sicily,Catania,N/A
4587,CR4587,25/11/2020,prostitution,P00852509,Cam0002429,On-going,CPA247040633,Campania,Avellino,N/A
4588,CR4588,22/01/2015,murder,P00510241,Cam0005309,Solved,CPA229274126,Campania,Benevento,N/A
4589,CR4589,25/08/2008,murder,P00350193,Ndr0005007,On-going,CLA419917625,Calabria,Montalto Uffugo,N/A
4590,CR4590,25/10/2020,tax-fraud schemes,P00910156,Sac0000870,Solved,PGA711985213,Puglia,Bari,N/A
4591,CR4591,28/11/2020,murder,P00640015,Sac0001525,Solved,PGA921897904,Puglia,Lecce,N/A
4592,CR4592,24/09/2018,loan sharking,P00066456,Cam0003318,Solved,CPA304829454,Campania,Avellino,CA1877
4593,CR4593,06/05/2008,infiltration of legitimate businesses,P00137774,Sac0001527,On-going,PGA760344236,Puglia,Foggia,CA1020
4594,CR4594,25/12/2007,murder,P00723764,Cos0003184,Solved,SCY431778819,Sicily,Gela,N/A
4595,CR4595,24/02/2003,loan sharking,P00675797,Sac0000436,On-going,PGA983650639,Puglia,Andria,CA690
4596,CR4596,14/08/2016,corruption of public officials,P00033682,Sac0000775,On-going,PGA624804134,Puglia,Lecce,CA312
4597,CR4597,25/02/2000,corruption of public officials,P00068157,Cam0001822,On-going,CPA715730286,Campania,Avellino,N/A
4598,CR4598,12/01/2012,extortion,P00283550,Cam0001656,Solved,CPA411044958,Campania,Avellino,N/A
4599,CR4599,18/10/2000,murder,P00671869,Ndr0003504,Solved,CLA864881374,Calabria,Catanzaro,N/A
4600,CR4600,17/06/2001,corruption of public officials,P00582170,Sac0000686,Solved,PGA518828147,Puglia,Andria,CA1384
4601,CR4601,03/03/2011,prostitution,P00981843,Cam0004565,Solved,CPA237845611,Campania,Naples,CA411
4602,CR4602,27/04/2016,extortion,P00509438,Cam0003962,On-going,CPA545975764,Campania,Naples,CA1890
4603,CR4603,11/03/2019,corruption of public officials,P00836884,Ndr0001658,On-going,CLA287678891,Calabria,Acri,CA1839
4604,CR4604,04/06/2014,loan sharking,P00250617,Cam0005182,On-going,CPA193177823,Campania,Avellino,N/A
4605,CR4605,08/05/2018,labor racketeering,P00958682,Ndr0002312,On-going,CLA803256370,Calabria,Corigliano-Rossano,N/A
4606,CR4606,22/02/2022,labor racketeering,P00703448,Sac0001377,On-going,PGA545876147,Puglia,Taranto,N/A
4607,CR4607,11/10/2015,prostitution,P00598739,Cam0001659,Solved,CPA945973635,Campania,Naples,N/A
4608,CR4608,30/08/2000,labor racketeering,P00571166,Cam0001208,Solved,CPA174562647,Campania,Avellino,CA1408
4609,CR4609,30/04/2020,infiltration of legitimate businesses,P00155425,Cam0003689,Solved,CPA540738444,Campania,Caserta,N/A
4610,CR4610,21/10/2007,loan sharking,P00731579,Cos0004432,Solved,SCY323442341,Sicily,Trapani,N/A
4611,CR4611,16/10/2003,murder,P00113054,Cos0001335,On-going,SCY652560610,Sicily,Vittoria,N/A
4612,CR4612,21/06/2005,corruption of public officials,P00206084,Cam0003263,Solved,CPA869552038,Campania,Caserta,N/A
4613,CR4613,24/08/2014,drug trafficking,P00607516,Cam0000661,On-going,CPA102715571,Campania,Caserta,N/A
4614,CR4614,17/05/2012,labor racketeering,P00288339,Cos0003528,Solved,SCY546116779,Sicily,Trapani,N/A
4615,CR4615,14/11/2010,gambling,P00881100,Sac0001304,Solved,PGA381754411,Puglia,Bari,CA771
4616,CR4616,27/11/2012,extortion,P00064771,Cam0001558,On-going,CPA117623401,Campania,Naples,CA1874
4617,CR4617,01/12/2011,gambling,P00938234,Cam0005481,On-going,CPA281032923,Campania,Naples,N/A
4618,CR4618,19/05/2010,tax-fraud schemes,P00329240,Sac0001394,On-going,PGA341551215,Puglia,Andria,N/A
4619,CR4619,24/07/2020,extortion,P00872652,Sac0000582,Solved,PGA437609637,Puglia,Bari,CA487
4620,CR4620,05/07/2018,prostitution,P00340087,Cam0003302,On-going,CPA969092066,Campania,Naples,CA867
4621,CR4621,10/03/2016,drug trafficking,P00931066,Cam0004065,On-going,CPA241523772,Campania,Naples,N/A
4622,CR4622,13/08/2004,tax-fraud schemes,P00997921,Sac0001484,On-going,PGA546684796,Puglia,Andria,N/A
4623,CR4623,26/11/2020,prostitution,P00787597,Ndr0000938,Solved,CLA765588961,Calabria,Rende,N/A
4624,CR4624,27/09/2009,corruption of public officials,P00403830,Sac0001116,Solved,PGA831004577,Puglia,Taranto,N/A
4625,CR4625,28/05/2007,infiltration of legitimate businesses,P00908371,Cam0000440,Solved,CPA16448144,Campania,Salerno,N/A
4626,CR4626,18/01/2017,prostitution,P00414532,Cam0003113,Solved,CPA139021541,Campania,Caserta,N/A
4627,CR4627,08/04/2006,prostitution,P00311445,Cam0003515,On-going,CPA969278905,Campania,Salerno,CA1283
4628,CR4628,09/08/2000,labor racketeering,P00855960,Cam0002071,Solved,CPA796187706,Campania,Naples,N/A
4629,CR4629,06/04/2011,murder,P00101695,Cam0004477,Solved,CPA496740601,Campania,Avellino,N/A
4630,CR4630,04/04/2006,tax-fraud schemes,P00219287,Ndr0004921,Solved,CLA11182353,Calabria,Acri,CA67
4631,CR4631,30/10/2014,gambling,P00719592,Cam0002157,Solved,CPA662910927,Campania,Benevento,N/A
4632,CR4632,07/10/2007,corruption of public officials,P00710421,Cam0000408,Solved,CPA463378669,Campania,Avellino,N/A
4633,CR4633,02/12/2018,tax-fraud schemes,P00776412,Cos0003909,Solved,SCY884797833,Sicily,Syracuse,N/A
4634,CR4634,04/03/2015,loan sharking,P00467941,Cam0004217,Solved,CPA573815558,Campania,Caserta,N/A
4635,CR4635,16/03/2002,loan sharking,P00275605,Cos0003547,On-going,SCY838710169,Sicily,Catania,N/A
4636,CR4636,28/05/2008,murder,P00474672,Cos0000865,Solved,SCY107082775,Sicily,Ragusa,CA964
4637,CR4637,31/07/2014,drug trafficking,P00130441,Cam0005362,On-going,CPA376280594,Campania,Benevento,CA1810
4638,CR4638,02/04/2003,infiltration of legitimate businesses,P00616568,Ndr0001402,On-going,CLA11158042,Calabria,Crotone,N/A
4639,CR4639,17/01/2018,loan sharking,P00551203,Cam0004656,On-going,CPA979528686,Campania,Naples,N/A
4640,CR4640,27/03/2013,loan sharking,P00985665,Cos0004574,On-going,SCY286228753,Sicily,Caltanissetta,N/A
4641,CR4641,14/09/2000,corruption of public officials,P00724317,Cos0000825,On-going,SCY252013589,Sicily,Caltanissetta,N/A
4642,CR4642,08/11/2014,infiltration of legitimate businesses,P00835910,Cos0002218,Solved,SCY78931036,Sicily,Catania,N/A
4643,CR4643,19/01/2015,tax-fraud schemes,P00120426,Ndr0002942,Solved,CLA3159658,Calabria,Rende,N/A
4644,CR4644,15/09/2004,extortion,P00967812,Cam0000839,Solved,CPA815317619,Campania,Salerno,N/A
4645,CR4645,14/11/2016,gambling,P00780388,Cam0002227,Solved,CPA928928175,Campania,Naples,N/A
4646,CR4646,11/02/2010,infiltration of legitimate businesses,P00200951,Cos0000941,Solved,SCY77753066,Sicily,Vittoria,N/A
4647,CR4647,14/11/2001,tax-fraud schemes,P00698016,Cos0001670,On-going,SCY354902181,Sicily,Syracuse,CA627
4648,CR4648,12/07/2007,tax-fraud schemes,P00183267,Cos0004539,On-going,SCY585131388,Sicily,Marsala,N/A
4649,CR4649,23/08/2000,murder,P00174747,Cam0001264,Solved,CPA368163176,Campania,Avellino,CA1506
4650,CR4650,12/11/2020,gambling,P00109478,Sac0001211,Solved,PGA385189894,Puglia,Bari,N/A
4651,CR4651,11/12/2006,corruption of public officials,P00006675,Ndr0001719,Solved,CLA185469389,Calabria,Montalto Uffugo,N/A
4652,CR4652,17/08/2004,extortion,P00793434,Cos0002350,Solved,SCY278712074,Sicily,Catania,CA1129
4653,CR4653,02/12/2015,corruption of public officials,P00839008,Cam0004505,Solved,CPA924195533,Campania,Naples,N/A
4654,CR4654,10/10/2015,tax-fraud schemes,P00225335,Sac0001584,On-going,PGA625226544,Puglia,Foggia,N/A
4655,CR4655,09/07/2003,murder,P00944287,Ndr0001326,Solved,CLA639225767,Calabria,Montalto Uffugo,N/A
4656,CR4656,28/04/2014,tax-fraud schemes,P00091053,Ndr0000860,On-going,CLA334418861,Calabria,Catanzaro,N/A
4657,CR4657,27/10/2016,gambling,P00719403,Cam0001630,On-going,CPA447445612,Campania,Avellino,N/A
4658,CR4658,14/10/2001,labor racketeering,P00733173,Cos0003835,On-going,SCY158528255,Sicily,Trapani,N/A
4659,CR4659,27/07/2021,extortion,P00519382,Cam0004626,Solved,CPA435327055,Campania,Avellino,N/A
4660,CR4660,12/08/2020,gambling,P00052470,Cos0003492,On-going,SCY976433249,Sicily,Catania,N/A
4661,CR4661,26/04/2007,corruption of public officials,P00338796,Cam0001175,Solved,CPA404932398,Campania,Avellino,N/A
4662,CR4662,21/07/2013,drug trafficking,P00420634,Ndr0004473,Solved,CLA430325692,Calabria,Catanzaro,CA1373
4663,CR4663,15/05/2003,corruption of public officials,P00900481,Ndr0003825,Solved,CLA530403290,Calabria,Rende,CA1337
4664,CR4664,29/06/2019,infiltration of legitimate businesses,P00525842,Cos0003680,On-going,SCY615768136,Sicily,Vittoria,CA1938
4665,CR4665,12/03/2017,infiltration of legitimate businesses,P00960195,Cam0000959,Solved,CPA484324392,Campania,Salerno,N/A
4666,CR4666,04/11/2013,extortion,P00794096,Cos0004370,On-going,SCY725504079,Sicily,Gela,N/A
4667,CR4667,08/03/2010,loan sharking,P00527191,Ndr0003245,Solved,CLA768309763,Calabria,Cosenza,N/A
4668,CR4668,05/06/2020,labor racketeering,P00431197,Cos0000305,On-going,SCY10246413,Sicily,Palermo,N/A
4669,CR4669,03/12/2016,prostitution,P00480600,Sac0001717,On-going,PGA734106814,Puglia,Bari,N/A
4670,CR4670,03/01/2008,prostitution,P00655506,Cam0004197,Solved,CPA692360488,Campania,Salerno,CA330
4671,CR4671,10/06/2002,extortion,P00885805,Cam0004896,Solved,CPA624543467,Campania,Avellino,N/A
4672,CR4672,11/11/2018,loan sharking,P00620572,Sac0000754,On-going,PGA611571728,Puglia,Foggia,CA336
4673,CR4673,14/07/2014,prostitution,P00429498,Cos0002928,On-going,SCY335876211,Sicily,Vittoria,N/A
4674,CR4674,02/03/2021,corruption of public officials,P00768817,Cos0002707,On-going,SCY359726700,Sicily,Marsala,N/A
4675,CR4675,22/03/2015,corruption of public officials,P00737383,Cam0004581,On-going,CPA772561113,Campania,Salerno,N/A
4676,CR4676,18/08/2004,extortion,P00349357,Ndr0003430,On-going,CLA889642495,Calabria,Montalto Uffugo,N/A
4677,CR4677,27/04/2008,gambling,P00535935,Cos0001120,Solved,SCY510243752,Sicily,Palermo,N/A
4678,CR4678,24/11/2003,tax-fraud schemes,P00952637,Cam0001948,On-going,CPA740047069,Campania,Naples,N/A
4679,CR4679,23/01/2012,loan sharking,P00824590,Cam0001308,On-going,CPA324743166,Campania,Benevento,N/A
4680,CR4680,27/02/2000,labor racketeering,P00824088,Cam0003548,Solved,CPA952682978,Campania,Caserta,CA25
4681,CR4681,03/09/2014,corruption of public officials,P00558388,Ndr0003250,On-going,CLA647135318,Calabria,Acri,CA1312
4682,CR4682,28/02/2009,labor racketeering,P00805862,Cam0004162,Solved,CPA182572997,Campania,Caserta,CA934
4683,CR4683,31/01/2000,infiltration of legitimate businesses,P00077582,Sac0000593,Solved,PGA766522653,Puglia,Andria,N/A
4684,CR4684,23/01/2015,labor racketeering,P00299532,Sac0001228,On-going,PGA604264391,Puglia,Bari,CA34
4685,CR4685,09/01/2008,labor racketeering,P00590071,Cam0002183,On-going,CPA65351175,Campania,Naples,N/A
4686,CR4686,30/04/2014,murder,P00948303,Cos0004038,Solved,SCY232930315,Sicily,Catania,N/A
4687,CR4687,07/07/2015,drug trafficking,P00187024,Ndr0003330,On-going,CLA25340654,Calabria,Corigliano-Rossano,N/A
4688,CR4688,27/01/2002,corruption of public officials,P00839709,Cam0005115,Solved,CPA777897229,Campania,Salerno,N/A
4689,CR4689,26/11/2019,murder,P00853723,Ndr0003375,On-going,CLA67921565,Calabria,Rende,N/A
4690,CR4690,09/12/2013,drug trafficking,P00333823,Ndr0002838,On-going,CLA37556127,Calabria,Castrovillari,N/A
4691,CR4691,24/03/2006,prostitution,P00078351,Sac0000347,Solved,PGA343644354,Puglia,Taranto,N/A
4692,CR4692,18/11/2008,murder,P00554020,Sac0001143,Solved,PGA161096346,Puglia,Foggia,N/A
4693,CR4693,20/10/2011,labor racketeering,P00244880,Cos0004081,Solved,SCY684156443,Sicily,Trapani,N/A
4694,CR4694,11/01/2012,tax-fraud schemes,P00773087,Cam0003372,On-going,CPA899514440,Campania,Benevento,N/A
4695,CR4695,12/05/2018,tax-fraud schemes,P00367636,Sac0001556,On-going,PGA461721527,Puglia,Bari,N/A
4696,CR4696,01/02/2017,loan sharking,P00421466,Ndr0000500,Solved,CLA193473972,Calabria,Cosenza,N/A
4697,CR4697,15/05/2018,infiltration of legitimate businesses,P00789141,Cam0002926,On-going,CPA281771843,Campania,Avellino,N/A
4698,CR4698,26/03/2022,loan sharking,P00231561,Cos0004712,On-going,SCY608112055,Sicily,Trapani,N/A
4699,CR4699,10/09/2005,extortion,P00520331,Cam0001837,On-going,CPA616097798,Campania,Avellino,N/A
4700,CR4700,06/04/2017,labor racketeering,P00963403,Cos0000469,On-going,SCY788466431,Sicily,Palermo,N/A
4701,CR4701,24/07/2008,drug trafficking,P00312210,Cam0002282,On-going,CPA624013656,Campania,Benevento,N/A
4702,CR4702,15/05/2002,murder,P00011505,Ndr0004220,Solved,CLA717945208,Calabria,Vibo Valentia,N/A
4703,CR4703,24/09/2013,drug trafficking,P00678206,Cos0000618,Solved,SCY539821481,Sicily,Trapani,N/A
4704,CR4704,02/08/2000,prostitution,P00280757,Cam0003397,Solved,CPA492275435,Campania,Naples,CA1376
4705,CR4705,30/06/2006,infiltration of legitimate businesses,P00585649,Ndr0004692,Solved,CLA0939178,Calabria,Castrovillari,CA1754
4706,CR4706,20/01/2013,drug trafficking,P00515725,Cos0002713,On-going,SCY702356602,Sicily,Vittoria,N/A
4707,CR4707,12/02/2011,murder,P00316412,Cos0000973,On-going,SCY774704736,Sicily,Vittoria,N/A
4708,CR4708,29/03/2005,extortion,P00240076,Sac0000993,On-going,PGA935828847,Puglia,Lecce,N/A
4709,CR4709,03/03/2014,infiltration of legitimate businesses,P00445853,Cam0002362,On-going,CPA104912287,Campania,Salerno,N/A
4710,CR4710,13/10/2009,loan sharking,P00931742,Cam0004854,Solved,CPA348735470,Campania,Benevento,N/A
4711,CR4711,21/06/2017,corruption of public officials,P00290058,Cos0002087,On-going,SCY807824512,Sicily,Gela,N/A
4712,CR4712,23/05/2010,prostitution,P00184694,Cos0002827,On-going,SCY630525513,Sicily,Caltanissetta,CA1675
4713,CR4713,07/08/2003,corruption of public officials,P00288996,Cos0003780,Solved,SCY827188861,Sicily,Catania,CA64
4714,CR4714,28/04/2021,extortion,P00425436,Cam0003415,Solved,CPA160979846,Campania,Benevento,N/A
4715,CR4715,20/05/2015,drug trafficking,P00775560,Cos0002795,Solved,SCY848674328,Sicily,Trapani,N/A
4716,CR4716,13/07/2007,extortion,P00411376,Ndr0004376,Solved,CLA636003922,Calabria,Rende,N/A
4717,CR4717,23/01/2015,gambling,P00409956,Ndr0003937,Solved,CLA291803710,Calabria,Corigliano-Rossano,N/A
4718,CR4718,24/03/2020,loan sharking,P00675055,Sac0000839,Solved,PGA741383743,Puglia,Andria,N/A
4719,CR4719,02/05/2020,labor racketeering,P00540726,Cam0002294,On-going,CPA661528233,Campania,Caserta,N/A
4720,CR4720,11/07/2013,infiltration of legitimate businesses,P00885699,Ndr0004758,On-going,CLA382354970,Calabria,Corigliano-Rossano,CA1630
4721,CR4721,24/06/2002,gambling,P00888253,Sac0001062,Solved,PGA775982551,Puglia,Lecce,CA471
4722,CR4722,18/03/2014,tax-fraud schemes,P00788234,Ndr0002312,On-going,CLA705748719,Calabria,Corigliano-Rossano,N/A
4723,CR4723,29/08/2014,drug trafficking,P00696522,Cos0004095,On-going,SCY65627339,Sicily,Vittoria,N/A
4724,CR4724,03/05/2002,corruption of public officials,P00494148,Cos0003805,On-going,SCY828531266,Sicily,Palermo,N/A
4725,CR4725,23/10/2017,drug trafficking,P00905368,Cos0003652,Solved,SCY812756162,Sicily,Vittoria,N/A
4726,CR4726,06/07/2015,drug trafficking,P00942777,Ndr0001512,Solved,CLA170346419,Calabria,Reggio Calabria,N/A
4727,CR4727,11/03/2021,labor racketeering,P00010634,Ndr0004613,On-going,CLA758456925,Calabria,Catanzaro,N/A
4728,CR4728,20/01/2001,infiltration of legitimate businesses,P00653077,Ndr0003403,On-going,CLA950054490,Calabria,Catanzaro,N/A
4729,CR4729,24/10/2000,drug trafficking,P00585848,Ndr0000858,On-going,CLA599369606,Calabria,Castrovillari,N/A
4730,CR4730,02/01/2014,prostitution,P00568934,Cam0000401,On-going,CPA712908035,Campania,Avellino,N/A
4731,CR4731,16/02/2010,infiltration of legitimate businesses,P00713105,Sac0001705,Solved,PGA915138134,Puglia,Taranto,N/A
4732,CR4732,26/10/2001,prostitution,P00981257,Cam0005219,On-going,CPA557914754,Campania,Naples,N/A
