,Crime ID,Date,Crime Type,Suspect ID,Status,Lead Officer ID,Region,City,Case ID
6793,6793,2018-08-29,corruption of public officials,Ndr0004699,Solved,CLA981363875,Calabria,Reggio Calabria,N/A
6794,6794,2003-12-17,labor racketeering,Cam0003915,On-going,CPA356111033,Campania,Caserta,N/A
6795,6795,2019-01-22,tax-fraud schemes,Cam0001852,Solved,CPA20615223,Campania,Benevento,N/A
6796,6796,2019-09-23,drug trafficking,Cos0001667,Solved,SCY371836864,Sicily,Trapani,N/A
6797,6797,2000-06-20,drug trafficking,Sac0001579,Solved,PGA746493980,Puglia,Foggia,N/A
6798,6798,2010-08-04,labor racketeering,Cam0002605,Solved,CPA60150158,Campania,Naples,N/A
6799,6799,2000-02-18,corruption of public officials,Cam0002554,Solved,CPA549288490,Campania,Benevento,N/A
6800,6800,2019-07-20,corruption of public officials,Ndr0002699,Solved,CLA596157263,Calabria,Lamezia Terme,N/A
6801,6801,2014-05-29,tax-fraud schemes,Sac0001280,Solved,PGA395571778,Puglia,Foggia,N/A
6802,6802,2007-11-30,corruption of public officials,Sac0001379,On-going,PGA684011908,Puglia,Lecce,N/A
6803,6803,2015-04-20,gambling,Sac0000945,Solved,PGA538915809,Puglia,Lecce,N/A
6804,6804,2009-09-14,tax-fraud schemes,Cam0003411,On-going,CPA652321662,Campania,Avellino,N/A
6805,6805,2014-03-03,murder,Sac0000690,Solved,PGA837797632,Puglia,Foggia,N/A
6806,6806,2014-04-26,labor racketeering,Cos0001396,On-going,SCY767396559,Sicily,Palermo,N/A
6807,6807,2019-07-21,gambling,Ndr0001127,On-going,CLA605478222,Calabria,Lamezia Terme,N/A
6808,6808,2002-11-14,extortion,Cam0004575,On-going,CPA412713539,Campania,Naples,N/A
6809,6809,2006-06-07,tax-fraud schemes,Ndr0003552,On-going,CLA554425548,Calabria,Catanzaro,N/A
6810,6810,2022-02-12,labor racketeering,Cam0004835,On-going,CPA518468755,Campania,Naples,45
6811,6811,2020-07-02,drug trafficking,Ndr0003740,On-going,CLA123167285,Calabria,Acri,N/A
6812,6812,2007-04-12,murder,Cos0004312,Solved,SCY560003281,Sicily,Trapani,N/A
6813,6813,2002-12-23,prostitution,Cos0002086,Solved,SCY23026533,Sicily,Caltanissetta,N/A
6814,6814,2005-07-20,prostitution,Sac0000352,Solved,PGA102202825,Puglia,Bari,N/A
6815,6815,2020-03-24,drug trafficking,Sac0000811,On-going,PGA208927999,Puglia,Taranto,N/A
6816,6816,2009-03-18,murder,Cam0004862,Solved,CPA906762451,Campania,Naples,N/A
6817,6817,2003-06-06,loan sharking,Ndr0002308,On-going,CLA370040683,Calabria,Vibo Valentia,27
6818,6818,2000-06-27,infiltration of legitimate businesses,Cos0000425,On-going,SCY10639035,Sicily,Catania,N/A
6819,6819,2020-04-06,gambling,Cam0004478,On-going,CPA702355269,Campania,Avellino,N/A
6820,6820,2010-10-21,murder,Ndr0003842,Solved,CLA831526973,Calabria,Cosenza,N/A
6821,6821,2005-10-11,tax-fraud schemes,Cam0001880,Solved,CPA20704861,Campania,Benevento,N/A
6822,6822,2020-05-21,infiltration of legitimate businesses,Sac0001627,Solved,PGA281956895,Puglia,Andria,N/A
6823,6823,2009-10-04,loan sharking,Cam0000924,Solved,CPA851597960,Campania,Avellino,N/A
6824,6824,2020-09-24,murder,Sac0000614,On-going,PGA691389587,Puglia,Taranto,N/A
6825,6825,2008-01-11,tax-fraud schemes,Ndr0003491,On-going,CLA216183471,Calabria,Acri,N/A
6826,6826,2015-10-30,infiltration of legitimate businesses,Cam0001887,Solved,CPA932981760,Campania,Salerno,N/A
6827,6827,2016-01-28,murder,Ndr0004935,Solved,CLA783901302,Calabria,Vibo Valentia,N/A
6828,6828,2001-10-10,corruption of public officials,Cos0001337,Solved,SCY109440488,Sicily,Messina,17
6829,6829,2008-03-02,prostitution,Cos0000573,Solved,SCY735857480,Sicily,Caltanissetta,N/A
6830,6830,2019-03-27,infiltration of legitimate businesses,Ndr0002403,Solved,CLA100127101,Calabria,Rende,N/A
6831,6831,2002-03-15,labor racketeering,Sac0001682,Solved,PGA105283228,Puglia,Taranto,N/A
6832,6832,2016-09-16,murder,Cam0004072,Solved,CPA531486385,Campania,Benevento,N/A
6833,6833,2004-11-22,drug trafficking,Sac0000392,Solved,PGA64499023,Puglia,Bari,N/A
6834,6834,2010-10-21,tax-fraud schemes,Cos0004279,Solved,SCY219183692,Sicily,Marsala,N/A
6835,6835,2022-03-31,extortion,Cos0004174,On-going,SCY681049401,Sicily,Catania,N/A
6836,6836,2020-10-17,extortion,Cos0003427,On-going,SCY423502949,Sicily,Palermo,N/A
6837,6837,2018-05-15,extortion,Cos0002934,Solved,SCY16508587,Sicily,Messina,N/A
6838,6838,2014-09-09,infiltration of legitimate businesses,Ndr0001736,Solved,CLA1257396,Calabria,Catanzaro,N/A
6839,6839,2011-02-14,labor racketeering,Cam0004675,On-going,CPA183362589,Campania,Avellino,N/A
6840,6840,2007-12-20,murder,Cam0003582,On-going,CPA322733786,Campania,Naples,N/A
6841,6841,2004-02-26,tax-fraud schemes,Ndr0001958,On-going,CLA433827558,Calabria,Vibo Valentia,N/A
6842,6842,2008-02-02,tax-fraud schemes,Sac0000968,Solved,PGA597986087,Puglia,Taranto,N/A
6843,6843,2020-12-30,gambling,Sac0000800,On-going,PGA973861471,Puglia,Bari,N/A
6844,6844,2004-07-23,corruption of public officials,Ndr0002798,Solved,CLA885791778,Calabria,Reggio Calabria,N/A
6845,6845,2019-05-17,corruption of public officials,Ndr0003179,On-going,CLA762191251,Calabria,Cosenza,N/A
6846,6846,2019-12-17,loan sharking,Cos0001445,Solved,SCY929550653,Sicily,Syracuse,N/A
6847,6847,2011-11-18,labor racketeering,Cam0002746,Solved,CPA101162085,Campania,Naples,N/A
6848,6848,2016-10-16,corruption of public officials,Sac0001616,On-going,PGA15283361,Puglia,Taranto,21
6849,6849,2012-09-07,loan sharking,Cam0004183,On-going,CPA288327591,Campania,Salerno,N/A
6850,6850,2006-09-18,corruption of public officials,Sac0000452,Solved,PGA29668608,Puglia,Taranto,N/A
6851,6851,2011-06-26,prostitution,Cam0002822,Solved,CPA228737387,Campania,Caserta,N/A
6852,6852,2017-12-17,labor racketeering,Cam0002024,On-going,CPA394430118,Campania,Avellino,N/A
6853,6853,2019-03-10,gambling,Ndr0002371,On-going,CLA167437988,Calabria,Rende,N/A
6854,6854,2007-04-21,loan sharking,Ndr0003984,Solved,CLA949546553,Calabria,Corigliano-Rossano,N/A
6855,6855,2015-08-20,extortion,Ndr0005100,Solved,CLA243222496,Calabria,Castrovillari,50
6856,6856,2002-12-05,corruption of public officials,Cos0002065,On-going,SCY12557623,Sicily,Vittoria,N/A
6857,6857,2001-08-27,loan sharking,Cos0004026,On-going,SCY380147931,Sicily,Messina,N/A
6858,6858,2006-11-06,gambling,Ndr0002765,Solved,CLA53377329,Calabria,Cosenza,N/A
6859,6859,2001-09-16,tax-fraud schemes,Cos0002319,Solved,SCY952920776,Sicily,Ragusa,N/A
6860,6860,2012-02-18,drug trafficking,Ndr0004553,On-going,CLA695716759,Calabria,Rende,N/A
6861,6861,2010-08-04,murder,Cos0004617,On-going,SCY348998897,Sicily,Vittoria,N/A
6862,6862,2002-04-12,gambling,Cam0002306,On-going,CPA802095676,Campania,Caserta,N/A
6863,6863,2010-12-04,corruption of public officials,Cos0003608,On-going,SCY86072161,Sicily,Ragusa,N/A
6864,6864,2015-06-04,gambling,Sac0001243,Solved,PGA845164849,Puglia,Taranto,N/A
6865,6865,2011-02-14,drug trafficking,Cos0001340,Solved,SCY891126864,Sicily,Caltanissetta,N/A
6866,6866,2011-02-05,drug trafficking,Ndr0003406,Solved,CLA972497850,Calabria,Lamezia Terme,N/A
6867,6867,2007-08-06,loan sharking,Sac0001723,Solved,PGA942083565,Puglia,Foggia,N/A
6868,6868,2012-06-23,loan sharking,Cam0001730,On-going,CPA8951927,Campania,Avellino,44
6869,6869,2014-02-28,corruption of public officials,Cos0004084,Solved,SCY199907121,Sicily,Marsala,N/A
6870,6870,2008-04-08,extortion,Cam0002363,On-going,CPA479666913,Campania,Caserta,N/A
6871,6871,2002-09-05,gambling,Sac0000295,On-going,PGA952012292,Puglia,Foggia,N/A
6872,6872,2019-03-23,prostitution,Sac0001247,Solved,PGA792072007,Puglia,Bari,N/A
6873,6873,2000-01-02,tax-fraud schemes,Ndr0002266,Solved,CLA679919182,Calabria,Castrovillari,N/A
6874,6874,2015-09-07,murder,Sac0001689,On-going,PGA628161129,Puglia,Andria,N/A
6875,6875,2000-11-27,infiltration of legitimate businesses,Ndr0005089,Solved,CLA653414713,Calabria,Acri,N/A
6876,6876,2001-04-02,labor racketeering,Sac0001612,Solved,PGA837797632,Puglia,Foggia,N/A
6877,6877,2003-01-12,prostitution,Ndr0004108,Solved,CLA349615492,Calabria,Crotone,N/A
6878,6878,2001-04-06,prostitution,Cos0004069,On-going,SCY344664616,Sicily,Syracuse,N/A
6879,6879,2009-06-07,corruption of public officials,Cam0004684,Solved,CPA296237270,Campania,Naples,N/A
6880,6880,2010-04-07,murder,Ndr0001743,On-going,CLA972497850,Calabria,Lamezia Terme,N/A
6881,6881,2018-03-04,extortion,Cam0002639,On-going,CPA133960580,Campania,Salerno,N/A
6882,6882,2011-11-28,tax-fraud schemes,Cos0003236,On-going,SCY32009839,Sicily,Syracuse,N/A
6883,6883,2000-01-23,prostitution,Ndr0002118,On-going,CLA506836696,Calabria,Cosenza,N/A
6884,6884,2017-08-18,tax-fraud schemes,Cos0000938,On-going,SCY242581097,Sicily,Ragusa,36
6885,6885,2014-10-12,corruption of public officials,Sac0001095,Solved,PGA103121691,Puglia,Taranto,N/A
6886,6886,2006-05-14,gambling,Ndr0002060,On-going,CLA699553026,Calabria,Catanzaro,N/A
6887,6887,2016-02-16,murder,Cos0002617,On-going,SCY662062104,Sicily,Caltanissetta,N/A
6888,6888,2001-08-27,labor racketeering,Cos0004584,On-going,SCY771410151,Sicily,Vittoria,N/A
6889,6889,2011-06-05,tax-fraud schemes,Cos0002809,On-going,SCY216618970,Sicily,Ragusa,0
6890,6890,2016-01-06,prostitution,Ndr0001904,On-going,CLA809766050,Calabria,Catanzaro,N/A
6891,6891,2006-05-09,prostitution,Ndr0000312,Solved,CLA307132671,Calabria,Crotone,N/A
6892,6892,2012-05-17,extortion,Sac0000678,On-going,PGA996674469,Puglia,Lecce,N/A
6893,6893,2005-12-28,corruption of public officials,Sac0001064,Solved,PGA170801971,Puglia,Taranto,N/A
6894,6894,2010-03-27,labor racketeering,Cam0003475,On-going,CPA228231371,Campania,Avellino,N/A
6895,6895,2018-04-17,extortion,Ndr0004178,Solved,CLA119686919,Calabria,Vibo Valentia,N/A
6896,6896,2017-09-27,prostitution,Ndr0001629,Solved,CLA618432816,Calabria,Castrovillari,N/A
6897,6897,2022-01-11,prostitution,Sac0001525,Solved,PGA595130195,Puglia,Lecce,N/A
6898,6898,2015-06-30,murder,Cos0003931,On-going,SCY709471314,Sicily,Messina,N/A
6899,6899,2005-01-16,drug trafficking,Cam0000649,On-going,CPA674601812,Campania,Avellino,N/A
6900,6900,2022-03-19,extortion,Ndr0002657,Solved,CLA414843894,Calabria,Vibo Valentia,N/A
6901,6901,2016-03-13,murder,Cos0004523,On-going,SCY278414078,Sicily,Palermo,37
6902,6902,2006-12-12,tax-fraud schemes,Sac0000696,Solved,PGA36419099,Puglia,Taranto,N/A
6903,6903,2001-06-09,murder,Cam0005043,On-going,CPA489111308,Campania,Avellino,N/A
6904,6904,2001-07-21,drug trafficking,Sac0001340,On-going,PGA927498475,Puglia,Taranto,N/A
6905,6905,2017-07-27,corruption of public officials,Sac0001230,On-going,PGA927929218,Puglia,Bari,N/A
6906,6906,2013-04-29,drug trafficking,Cos0002121,Solved,SCY662064471,Sicily,Caltanissetta,N/A
6907,6907,2015-05-15,infiltration of legitimate businesses,Cos0004063,Solved,SCY802914964,Sicily,Ragusa,N/A
6908,6908,2013-04-10,prostitution,Ndr0001985,On-going,CLA859488388,Calabria,Lamezia Terme,N/A
6909,6909,2012-05-13,murder,Sac0001503,Solved,PGA919244982,Puglia,Taranto,N/A
6910,6910,2015-01-15,murder,Cam0001700,Solved,CPA449467035,Campania,Caserta,N/A
6911,6911,2020-10-22,drug trafficking,Cos0001985,Solved,SCY317089005,Sicily,Catania,N/A
6912,6912,2002-11-29,extortion,Cam0003024,On-going,CPA172192170,Campania,Caserta,N/A
6913,6913,2012-04-14,corruption of public officials,Cam0004007,On-going,CPA527106716,Campania,Avellino,N/A
6914,6914,2016-01-05,gambling,Sac0000109,On-going,PGA491750176,Puglia,Foggia,45
6915,6915,2021-06-20,drug trafficking,Sac0001092,Solved,PGA715642907,Puglia,Foggia,N/A
6916,6916,2017-04-21,infiltration of legitimate businesses,Cos0003453,On-going,SCY757012909,Sicily,Vittoria,N/A
6917,6917,2007-12-07,infiltration of legitimate businesses,Sac0001014,Solved,PGA341900937,Puglia,Foggia,N/A
6918,6918,2008-09-16,murder,Sac0001153,Solved,PGA144770343,Puglia,Bari,N/A
6919,6919,2001-12-20,extortion,Sac0000654,Solved,PGA424421558,Puglia,Foggia,N/A
6920,6920,2013-05-05,labor racketeering,Cos0000221,Solved,SCY971527450,Sicily,Trapani,N/A
6921,6921,2009-01-31,loan sharking,Sac0001665,On-going,PGA435523332,Puglia,Andria,N/A
6922,6922,2013-05-19,labor racketeering,Cos0001397,Solved,SCY84543829,Sicily,Marsala,N/A
6923,6923,2009-08-03,tax-fraud schemes,Sac0001004,Solved,PGA874668963,Puglia,Lecce,N/A
6924,6924,2009-02-01,prostitution,Ndr0001167,On-going,CLA222536194,Calabria,Lamezia Terme,N/A
6925,6925,2004-04-10,extortion,Cos0003422,Solved,SCY679501413,Sicily,Marsala,N/A
6926,6926,2018-05-20,infiltration of legitimate businesses,Cos0003112,Solved,SCY814782456,Sicily,Syracuse,N/A
6927,6927,2000-06-20,prostitution,Cos0002718,Solved,SCY917636034,Sicily,Messina,N/A
6928,6928,2010-06-22,infiltration of legitimate businesses,Sac0001415,Solved,PGA926658384,Puglia,Andria,N/A
6929,6929,2009-03-05,murder,Cos0002954,Solved,SCY421849113,Sicily,Marsala,N/A
6930,6930,2007-06-27,corruption of public officials,Ndr0003049,On-going,CLA406469219,Calabria,Cosenza,N/A
6931,6931,2018-05-20,gambling,Cam0002082,Solved,CPA942635422,Campania,Salerno,N/A
6932,6932,2014-04-21,gambling,Ndr0002020,On-going,CLA254868232,Calabria,Rende,N/A
6933,6933,2011-04-01,corruption of public officials,Sac0001361,On-going,PGA674764899,Puglia,Bari,N/A
6934,6934,2006-02-05,drug trafficking,Ndr0003898,On-going,CLA308671919,Calabria,Rende,N/A
6935,6935,2019-11-05,murder,Cos0003866,On-going,SCY892541362,Sicily,Palermo,N/A
6936,6936,2013-04-22,prostitution,Sac0000832,On-going,PGA684050039,Puglia,Bari,N/A
6937,6937,2011-04-17,murder,Sac0000787,On-going,PGA284777699,Puglia,Taranto,N/A
6938,6938,2010-06-27,prostitution,Ndr0004625,On-going,CLA561963876,Calabria,Catanzaro,N/A
6939,6939,2004-12-21,extortion,Cos0004558,Solved,SCY942296908,Sicily,Vittoria,N/A
6940,6940,2004-05-11,drug trafficking,Ndr0003855,On-going,CLA575832838,Calabria,Lamezia Terme,N/A
6941,6941,2008-09-29,murder,Cam0003213,On-going,CPA687576051,Campania,Benevento,N/A
6942,6942,2022-01-16,labor racketeering,Ndr0004562,Solved,CLA603475775,Calabria,Montalto Uffugo,N/A
6943,6943,2017-06-20,labor racketeering,Cam0000659,Solved,CPA461715046,Campania,Caserta,N/A
6944,6944,2008-01-29,corruption of public officials,Sac0000928,On-going,PGA405942853,Puglia,Taranto,N/A
6945,6945,2012-06-09,tax-fraud schemes,Cam0000409,On-going,CPA96195458,Campania,Benevento,N/A
6946,6946,2014-04-15,corruption of public officials,Sac0000308,On-going,PGA202363705,Puglia,Bari,N/A
6947,6947,2014-10-22,infiltration of legitimate businesses,Sac0001137,Solved,PGA745355449,Puglia,Lecce,N/A
6948,6948,2008-05-10,corruption of public officials,Sac0001257,On-going,PGA291237722,Puglia,Andria,N/A
6949,6949,2011-04-29,infiltration of legitimate businesses,Ndr0003302,On-going,CLA621158421,Calabria,Catanzaro,N/A
6950,6950,2007-02-04,loan sharking,Ndr0002169,Solved,CLA716480893,Calabria,Montalto Uffugo,19
6951,6951,2001-11-08,labor racketeering,Cos0001573,Solved,SCY118604098,Sicily,Ragusa,N/A
6952,6952,2020-09-27,murder,Ndr0003038,On-going,CLA357166910,Calabria,Acri,N/A
6953,6953,2010-08-08,infiltration of legitimate businesses,Cos0001783,On-going,SCY745121055,Sicily,Ragusa,N/A
6954,6954,2018-12-10,gambling,Sac0001225,On-going,PGA948144832,Puglia,Bari,N/A
6955,6955,2010-04-26,gambling,Cam0001273,Solved,CPA888200928,Campania,Salerno,N/A
6956,6956,2015-05-27,labor racketeering,Sac0001260,Solved,PGA920387466,Puglia,Foggia,N/A
6957,6957,2019-08-21,prostitution,Cos0002937,Solved,SCY795292328,Sicily,Vittoria,N/A
6958,6958,2013-12-13,murder,Cam0005463,Solved,CPA196109046,Campania,Naples,N/A
6959,6959,2011-04-16,gambling,Cos0000275,Solved,SCY815079478,Sicily,Palermo,N/A
6960,6960,2020-05-29,infiltration of legitimate businesses,Cos0004596,On-going,SCY800223159,Sicily,Marsala,N/A
6961,6961,2013-09-19,drug trafficking,Ndr0000392,Solved,CLA927856115,Calabria,Lamezia Terme,N/A
6962,6962,2018-09-27,drug trafficking,Cos0004473,Solved,SCY107250833,Sicily,Syracuse,N/A
6963,6963,2011-05-10,labor racketeering,Cos0004224,On-going,SCY204758110,Sicily,Catania,N/A
6964,6964,2014-02-15,labor racketeering,Cos0004200,On-going,SCY20694026,Sicily,Trapani,41
6965,6965,2005-01-01,corruption of public officials,Sac0001480,Solved,PGA625433298,Puglia,Foggia,N/A
6966,6966,2010-12-07,murder,Sac0000158,Solved,PGA238523543,Puglia,Taranto,N/A
6967,6967,2003-08-22,tax-fraud schemes,Sac0001121,On-going,PGA956294382,Puglia,Foggia,N/A
6968,6968,2002-12-20,infiltration of legitimate businesses,Cos0004300,Solved,SCY112030865,Sicily,Messina,N/A
6969,6969,2014-05-17,extortion,Cos0002181,On-going,SCY456999129,Sicily,Gela,N/A
6970,6970,2003-05-23,infiltration of legitimate businesses,Cam0002836,On-going,CPA635232989,Campania,Benevento,N/A
6971,6971,2005-09-23,labor racketeering,Cos0004140,Solved,SCY304527239,Sicily,Messina,N/A
6972,6972,2009-05-06,extortion,Ndr0003477,Solved,CLA951885864,Calabria,Acri,N/A
6973,6973,2003-05-17,murder,Cam0005253,Solved,CPA179745842,Campania,Caserta,N/A
6974,6974,2008-11-02,extortion,Ndr0002801,On-going,CLA98490570,Calabria,Reggio Calabria,N/A
6975,6975,2016-09-16,labor racketeering,Cos0001566,On-going,SCY804816131,Sicily,Syracuse,29
6976,6976,2007-07-28,extortion,Sac0001056,Solved,PGA554662687,Puglia,Andria,N/A
6977,6977,2003-08-26,tax-fraud schemes,Cam0002095,On-going,CPA298935970,Campania,Salerno,N/A
6978,6978,2004-11-03,prostitution,Cos0003787,Solved,SCY565973622,Sicily,Marsala,N/A
6979,6979,2012-01-27,loan sharking,Ndr0001618,Solved,CLA763368105,Calabria,Catanzaro,N/A
6980,6980,2003-12-03,infiltration of legitimate businesses,Sac0001732,Solved,PGA245595612,Puglia,Lecce,N/A
6981,6981,2016-04-10,drug trafficking,Cos0004017,Solved,SCY80725249,Sicily,Gela,N/A
6982,6982,2015-06-05,infiltration of legitimate businesses,Sac0000532,Solved,PGA801438576,Puglia,Foggia,N/A
6983,6983,2009-09-12,murder,Ndr0001723,Solved,CLA458568574,Calabria,Reggio Calabria,N/A
6984,6984,2009-01-14,murder,Cam0002437,On-going,CPA129720705,Campania,Naples,N/A
6985,6985,2022-03-08,drug trafficking,Cos0002434,On-going,SCY246680198,Sicily,Catania,N/A
6986,6986,2010-12-15,tax-fraud schemes,Sac0001227,On-going,PGA348355250,Puglia,Bari,N/A
6987,6987,2019-02-26,labor racketeering,Ndr0002241,Solved,CLA297031772,Calabria,Castrovillari,N/A
6988,6988,2020-05-06,loan sharking,Cos0002126,On-going,SCY802860634,Sicily,Catania,N/A
6989,6989,2005-12-05,infiltration of legitimate businesses,Cam0003914,Solved,CPA145457972,Campania,Naples,N/A
6990,6990,2020-08-20,drug trafficking,Cam0004086,Solved,CPA377404148,Campania,Naples,N/A
6991,6991,2010-01-20,infiltration of legitimate businesses,Cos0003106,On-going,SCY211678428,Sicily,Syracuse,N/A
6992,6992,2004-08-20,drug trafficking,Sac0000156,Solved,PGA335675583,Puglia,Andria,N/A
6993,6993,2003-07-12,infiltration of legitimate businesses,Sac0001232,Solved,PGA996289801,Puglia,Andria,13
6994,6994,2021-10-21,corruption of public officials,Cam0003029,On-going,CPA139340350,Campania,Salerno,N/A
6995,6995,2001-06-12,prostitution,Ndr0003175,On-going,CLA471829379,Calabria,Vibo Valentia,N/A
6996,6996,2020-10-20,prostitution,Sac0001003,On-going,PGA951165836,Puglia,Bari,N/A
6997,6997,2016-02-19,prostitution,Cam0003740,On-going,CPA816369600,Campania,Salerno,N/A
6998,6998,2011-01-22,murder,Cam0003253,Solved,CPA613383041,Campania,Naples,N/A
6999,6999,2015-03-25,drug trafficking,Cos0003316,On-going,SCY298266284,Sicily,Trapani,N/A
7000,7000,2002-02-15,loan sharking,Cam0005211,Solved,CPA120062781,Campania,Avellino,N/A
7001,7001,2014-05-10,loan sharking,Cos0001681,On-going,SCY978741973,Sicily,Messina,N/A
7002,7002,2012-10-22,loan sharking,Ndr0004154,Solved,CLA994416124,Calabria,Corigliano-Rossano,N/A
7003,7003,2010-06-07,labor racketeering,Sac0000491,On-going,PGA60703410,Puglia,Foggia,N/A
7004,7004,2006-02-09,labor racketeering,Cam0002258,On-going,CPA303943950,Campania,Salerno,N/A
7005,7005,2017-10-05,extortion,Cam0003119,On-going,CPA114754371,Campania,Salerno,N/A
7006,7006,2006-02-14,infiltration of legitimate businesses,Sac0001147,On-going,PGA909360203,Puglia,Lecce,N/A
7007,7007,2001-08-01,prostitution,Ndr0003601,Solved,CLA569335647,Calabria,Corigliano-Rossano,N/A
7008,7008,2012-05-24,labor racketeering,Cos0001838,Solved,SCY292870314,Sicily,Ragusa,N/A
7009,7009,2000-05-25,drug trafficking,Cam0004950,On-going,CPA938326509,Campania,Naples,N/A
7010,7010,2016-01-31,loan sharking,Cos0002781,Solved,SCY326343729,Sicily,Catania,N/A
7011,7011,2017-01-24,extortion,Cos0001439,On-going,SCY287118687,Sicily,Messina,N/A
7012,7012,2011-06-06,drug trafficking,Cos0000917,Solved,SCY353927052,Sicily,Marsala,N/A
7013,7013,2009-06-15,murder,Cam0002957,On-going,CPA488311606,Campania,Caserta,N/A
7014,7014,2006-04-20,labor racketeering,Cam0002712,On-going,CPA973876389,Campania,Salerno,N/A
7015,7015,2010-02-06,gambling,Cos0001730,On-going,SCY498376282,Sicily,Palermo,N/A
7016,7016,2017-12-26,tax-fraud schemes,Sac0001438,On-going,PGA96363909,Puglia,Andria,N/A
7017,7017,2019-02-19,loan sharking,Ndr0000629,Solved,CLA612411670,Calabria,Castrovillari,N/A
7018,7018,2014-11-26,gambling,Sac0001672,Solved,PGA544809400,Puglia,Taranto,N/A
7019,7019,2010-02-07,extortion,Cos0000583,Solved,SCY394629713,Sicily,Palermo,N/A
7020,7020,2002-03-27,tax-fraud schemes,Ndr0002879,On-going,CLA695716759,Calabria,Rende,N/A
7021,7021,2009-02-24,extortion,Sac0001629,Solved,PGA102809529,Puglia,Andria,N/A
7022,7022,2008-04-18,tax-fraud schemes,Cam0002859,On-going,CPA815353232,Campania,Avellino,N/A
7023,7023,2005-10-13,loan sharking,Sac0001537,On-going,PGA658540366,Puglia,Andria,N/A
7024,7024,2011-09-26,extortion,Ndr0002323,On-going,CLA394903256,Calabria,Castrovillari,N/A
7025,7025,2013-01-31,prostitution,Cam0002122,Solved,CPA969965760,Campania,Caserta,N/A
7026,7026,2017-10-02,loan sharking,Sac0001314,Solved,PGA536360663,Puglia,Lecce,N/A
7027,7027,2021-05-15,drug trafficking,Cos0002591,Solved,SCY922832969,Sicily,Palermo,N/A
7028,7028,2020-08-06,loan sharking,Cos0002338,On-going,SCY664320000,Sicily,Marsala,N/A
7029,7029,2004-09-01,corruption of public officials,Cam0003218,On-going,CPA410961122,Campania,Benevento,N/A
7030,7030,2003-06-06,gambling,Cam0000376,Solved,CPA653455871,Campania,Avellino,N/A
7031,7031,2001-09-13,labor racketeering,Ndr0001930,On-going,CLA504228840,Calabria,Acri,N/A
7032,7032,2005-11-22,prostitution,Cam0004668,Solved,CPA714809416,Campania,Caserta,0
7033,7033,2013-07-22,prostitution,Cos0004287,Solved,SCY110868741,Sicily,Vittoria,N/A
7034,7034,2013-10-14,drug trafficking,Cos0003648,On-going,SCY68276178,Sicily,Gela,N/A
7035,7035,2005-02-11,gambling,Sac0001652,On-going,PGA922451751,Puglia,Andria,N/A
7036,7036,2014-06-11,extortion,Sac0001572,On-going,PGA629065591,Puglia,Andria,N/A
7037,7037,2018-05-20,murder,Cam0001947,Solved,CPA791438284,Campania,Benevento,N/A
7038,7038,2009-11-11,corruption of public officials,Sac0001576,On-going,PGA64441559,Puglia,Andria,N/A
7039,7039,2020-03-10,loan sharking,Cam0004723,On-going,CPA634294603,Campania,Naples,N/A
7040,7040,2011-11-20,tax-fraud schemes,Cam0002269,On-going,CPA543628272,Campania,Avellino,N/A
7041,7041,2019-09-18,extortion,Ndr0003202,On-going,CLA436937019,Calabria,Catanzaro,N/A
7042,7042,2016-09-09,extortion,Cos0000931,Solved,SCY345935933,Sicily,Gela,N/A
7043,7043,2001-01-01,murder,Cos0002009,Solved,SCY698094536,Sicily,Ragusa,N/A
7044,7044,2018-06-10,tax-fraud schemes,Cos0000757,On-going,SCY5376697,Sicily,Caltanissetta,N/A
7045,7045,2014-06-13,labor racketeering,Cos0003507,Solved,SCY38545604,Sicily,Syracuse,N/A
7046,7046,2015-09-27,tax-fraud schemes,Cos0003194,On-going,SCY404411663,Sicily,Caltanissetta,N/A
7047,7047,2010-09-20,tax-fraud schemes,Ndr0003955,Solved,CLA305397491,Calabria,Vibo Valentia,N/A
7048,7048,2014-03-05,corruption of public officials,Cam0005018,On-going,CPA82792891,Campania,Salerno,N/A
7049,7049,2017-05-28,murder,Cos0003519,On-going,SCY707877577,Sicily,Trapani,N/A
7050,7050,2000-02-08,loan sharking,Cam0000709,On-going,CPA370671117,Campania,Salerno,N/A
7051,7051,2005-04-08,corruption of public officials,Ndr0003847,On-going,CLA871896474,Calabria,Vibo Valentia,N/A
7052,7052,2010-03-09,drug trafficking,Cam0001165,On-going,CPA242212023,Campania,Salerno,N/A
7053,7053,2004-12-22,corruption of public officials,Sac0001090,Solved,PGA117825845,Puglia,Foggia,N/A
7054,7054,2018-12-18,corruption of public officials,Sac0000168,Solved,PGA853785768,Puglia,Foggia,N/A
7055,7055,2013-06-28,gambling,Sac0000272,On-going,PGA553127271,Puglia,Foggia,N/A
7056,7056,2012-06-08,tax-fraud schemes,Ndr0004224,On-going,CLA895489488,Calabria,Castrovillari,N/A
7057,7057,2016-10-16,tax-fraud schemes,Cos0003737,Solved,SCY913336452,Sicily,Catania,N/A
7058,7058,2016-12-03,labor racketeering,Cos0000788,Solved,SCY618795847,Sicily,Trapani,13
7059,7059,2021-02-13,corruption of public officials,Sac0000791,Solved,PGA136402371,Puglia,Andria,N/A
7060,7060,2000-09-05,murder,Sac0000657,Solved,PGA548018823,Puglia,Taranto,N/A
